school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,guardian,traveltime,higher,romantic,famrel,freetime,goout,studytime_mat,failures_mat,schoolsup_mat,famsup_mat,paid_mat,activities_mat,Dalc_mat,Walc_mat,health_mat,absences_mat,G1_mat,G2_mat,G3_mat,studytime_por,failures_por,schoolsup_por,famsup_por,paid_por,activities_por,Dalc_por,Walc_por,health_por,absences_por,G1_por,G2_por,G3_por,studytime
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,yes,no,mother,2,yes,no,4,3,4,2,0,yes,no,no,no,1,1,3,6,5,6,6,2,0,yes,no,no,no,1,1,3,4,0,11,11,4
GP,F,17,U,GT3,T,1,1,at_home,other,course,no,yes,father,1,yes,no,5,3,3,2,0,no,yes,no,no,1,1,3,4,5,5,6,2,0,no,yes,no,no,1,1,3,2,9,11,11,4
GP,F,15,U,LE3,T,1,1,at_home,other,other,yes,yes,mother,1,yes,no,4,3,2,2,3,yes,no,yes,no,2,3,3,10,7,8,10,2,0,yes,no,no,no,2,3,3,6,12,13,12,4
GP,F,15,U,GT3,T,4,2,health,services,home,yes,yes,mother,1,yes,yes,3,2,2,3,0,no,yes,yes,yes,1,1,5,2,15,14,15,3,0,no,yes,no,yes,1,1,5,0,14,14,14,6
GP,F,16,U,GT3,T,3,3,other,other,home,yes,no,father,1,yes,no,4,3,2,2,0,no,yes,yes,no,1,2,5,4,6,10,10,2,0,no,yes,no,no,1,2,5,0,11,13,13,4
GP,M,16,U,LE3,T,4,3,services,other,reputation,yes,yes,mother,1,yes,no,5,4,2,2,0,no,yes,yes,yes,1,2,5,10,15,15,15,2,0,no,yes,no,yes,1,2,5,6,12,12,13,4
GP,M,16,U,LE3,T,2,2,other,other,home,yes,yes,mother,1,yes,no,4,4,4,2,0,no,no,no,no,1,1,3,0,12,12,11,2,0,no,no,no,no,1,1,3,0,13,12,13,4
GP,F,17,U,GT3,A,4,4,other,teacher,home,yes,no,mother,2,yes,no,4,1,4,2,0,yes,yes,no,no,1,1,1,6,6,5,6,2,0,yes,yes,no,no,1,1,1,2,10,13,13,4
GP,M,15,U,LE3,A,3,2,services,other,home,yes,yes,mother,1,yes,no,4,2,2,2,0,no,yes,yes,no,1,1,1,0,16,18,19,2,0,no,yes,no,no,1,1,1,0,15,16,17,4
GP,M,15,U,GT3,T,3,4,other,other,home,yes,yes,mother,1,yes,no,5,5,1,2,0,no,yes,yes,yes,1,1,5,0,14,15,15,2,0,no,yes,no,yes,1,1,5,0,12,12,13,4
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,yes,yes,mother,1,yes,no,3,3,3,2,0,no,yes,yes,no,1,2,2,0,10,8,9,2,0,no,yes,no,no,1,2,2,2,14,14,14,4
GP,F,15,U,GT3,T,2,1,services,other,reputation,yes,yes,father,3,yes,no,5,2,2,3,0,no,yes,no,yes,1,1,4,4,10,12,12,3,0,no,yes,no,yes,1,1,4,0,10,12,13,6
GP,M,15,U,LE3,T,4,4,health,services,course,yes,yes,father,1,yes,no,4,3,3,1,0,no,yes,yes,yes,1,3,5,2,14,14,14,1,0,no,yes,no,yes,1,3,5,0,12,13,12,2
GP,M,15,U,GT3,T,4,3,teacher,other,course,yes,yes,mother,2,yes,no,5,4,3,2,0,no,yes,yes,no,1,2,3,2,10,10,11,2,0,no,yes,no,no,1,2,3,0,12,12,13,4
GP,M,15,U,GT3,A,2,2,other,other,home,yes,yes,other,1,yes,yes,4,5,2,3,0,no,yes,no,no,1,1,3,0,14,16,16,3,0,no,yes,no,no,1,1,3,0,14,14,15,6
GP,F,16,U,GT3,T,4,4,health,other,home,yes,yes,mother,1,yes,no,4,4,4,1,0,no,yes,no,no,1,2,2,4,14,14,14,1,0,no,yes,no,no,1,2,2,6,17,17,17,2
GP,F,16,U,GT3,T,4,4,services,services,reputation,yes,yes,mother,1,yes,no,3,2,3,3,0,no,yes,yes,yes,1,2,2,6,13,14,14,3,0,no,yes,no,yes,1,2,2,10,13,13,14,6
GP,F,16,U,GT3,T,3,3,other,other,reputation,yes,no,mother,3,yes,no,5,3,2,2,0,yes,yes,no,yes,1,1,4,4,8,10,10,2,0,yes,yes,no,yes,1,1,4,2,13,14,14,4
GP,M,17,U,GT3,T,3,2,services,services,course,yes,yes,mother,1,yes,no,5,5,5,1,3,no,yes,no,yes,2,4,5,16,6,5,5,1,3,no,yes,yes,yes,2,4,5,2,8,8,7,2
GP,M,16,U,LE3,T,4,3,health,other,home,yes,yes,father,1,yes,no,3,1,3,1,0,no,no,yes,yes,1,3,5,4,8,10,10,1,0,no,no,no,yes,1,3,5,6,12,12,12,2
